RoomID,Building,Capacity,Features
R19,Main Campus,62,Whiteboard
R20,Main Campus,97,Projector;Lab
R21,Main Campus,67,
R22,Main Campus,100,Lab;Whiteboard
R23,Main Campus,87,Lab
R24,Main Campus,99,Projector;Whiteboard
R1,Main Campus,54,
R2,Main Campus,74,Lab
R3,Main Campus,45,Projector;Lab;Whiteboard
R4,Main Campus,80,Lab
R5,Main Campus,49,Lab
R6,Main Campus,93,Projector;Lab;Whiteboard
R7,Main Campus,59,Projector;Lab
R8,Main Campus,98,Projector;Lab;Whiteboard
R9,Main Campus,41,Projector;Whiteboard
R10,Main Campus,81,Lab;Whiteboard
R11,Main Campus,68,Projector;Lab;Whiteboard
R12,Main Campus,97,Projector
R13,Main Campus,64,Whiteboard
R14,Main Campus,74,
R15,Main Campus,96,
R16,Main Campus,70,Whiteboard
R17,Main Campus,63,
R18,Main Campus,57,Lab;Whiteboard
R19,Main Campus,94,Lab;Whiteboard
R20,Main Campus,33,Projector
R21,Main Campus,67,Projector;Lab
R22,Main Campus,66,Whiteboard
R23,Main Campus,63,Projector;Lab
R24,Main Campus,98,
R1,Main Campus,89,Lab
R2,Main Campus,84,Projector;Whiteboard
R3,Main Campus,40,Projector;Lab
R4,Main Campus,96,Projector;Whiteboard
R5,Main Campus,77,Projector
R6,Main Campus,36,Projector;Lab;Whiteboard
R7,Main Campus,40,Projector
R8,Main Campus,91,Lab;Whiteboard
R9,Main Campus,78,Projector;Lab
R10,Main Campus,30,
R11,Main Campus,87,Projector;Lab
R12,Main Campus,71,
R13,Main Campus,80,Projector
R14,Main Campus,45,Lab
R15,Main Campus,62,
R16,Main Campus,75,Lab;Whiteboard
R17,Main Campus,55,Projector;Lab
R18,Main Campus,99,Projector;Lab
R19,Main Campus,81,
R20,Main Campus,63,Whiteboard
R21,Main Campus,76,Projector;Lab;Whiteboard
R22,Main Campus,44,Projector;Lab
R23,Main Campus,44,Lab;Whiteboard
R24,Main Campus,56,Projector;Whiteboard
R1,Main Campus,32,Projector;Whiteboard
R2,Main Campus,65,Whiteboard
R3,Main Campus,68,Projector;Whiteboard
R4,Main Campus,89,Projector
R5,Main Campus,76,
R6,Main Campus,84,Projector;Lab;Whiteboard
R7,Main Campus,52,Projector;Whiteboard
R8,Main Campus,50,Projector;Lab;Whiteboard
R9,Main Campus,56,Lab;Whiteboard
R10,Main Campus,51,
R11,Main Campus,50,Projector;Lab;Whiteboard
R12,Main Campus,61,Lab
R13,Main Campus,54,Projector;Lab;Whiteboard
R14,Main Campus,31,Lab
R15,Main Campus,81,Projector
R16,Main Campus,100,
R17,Main Campus,36,Lab
R18,Main Campus,93,Projector;Lab;Whiteboard
R19,Main Campus,50,Lab;Whiteboard
R20,Main Campus,33,Whiteboard
R21,Main Campus,34,Projector;Lab;Whiteboard
R22,Main Campus,60,Lab;Whiteboard
R23,Main Campus,91,Projector;Lab
R24,Main Campus,67,
R1,Main Campus,32,Whiteboard
R2,Main Campus,39,Projector;Lab;Whiteboard
R3,Main Campus,61,
R4,Main Campus,71,Lab;Whiteboard
R5,Main Campus,95,Projector;Whiteboard
R6,Main Campus,76,Projector;Lab;Whiteboard
R7,Main Campus,66,Projector;Lab;Whiteboard
R8,Main Campus,68,Projector;Lab;Whiteboard
R9,Main Campus,91,Whiteboard
R10,Main Campus,73,Lab
R11,Main Campus,74,
R12,Main Campus,97,Projector
R13,Main Campus,82,Projector;Lab;Whiteboard
R14,Main Campus,92,Whiteboard
R15,Main Campus,58,Lab
R16,Main Campus,55,Projector;Lab
R17,Main Campus,51,Projector;Whiteboard
R18,Main Campus,99,Lab
R19,Main Campus,89,Projector;Whiteboard
R20,Main Campus,100,Projector;Whiteboard
R21,Main Campus,82,Projector;Lab;Whiteboard
R22,Main Campus,72,Projector
R23,Main Campus,41,Whiteboard
R24,Main Campus,91,Projector;Whiteboard
R1,Main Campus,85,Lab;Whiteboard
R2,Main Campus,60,
R3,Main Campus,51,Projector;Lab
R4,Main Campus,41,Whiteboard
R5,Main Campus,99,Projector;Lab;Whiteboard
R6,Main Campus,73,Lab
R7,Main Campus,85,Projector;Lab;Whiteboard
R8,Main Campus,58,
R9,Main Campus,74,Projector;Lab;Whiteboard
R10,Main Campus,40,Projector;Whiteboard
R11,Main Campus,30,
R12,Main Campus,90,Projector;Lab
R13,Main Campus,35,Projector;Lab
R14,Main Campus,83,Whiteboard
R15,Main Campus,53,
R16,Main Campus,90,
R17,Main Campus,76,
R18,Main Campus,62,Whiteboard
R19,Main Campus,30,
R20,Main Campus,68,
R21,Main Campus,79,Projector;Lab;Whiteboard
R22,Main Campus,45,Lab;Whiteboard
R23,Main Campus,32,Projector;Lab;Whiteboard
R24,Main Campus,100,Projector;Lab;Whiteboard
R1,Main Campus,50,Projector
R2,Main Campus,58,Projector
R3,Main Campus,82,Lab
R4,Main Campus,36,Lab
R5,Main Campus,34,
R6,Main Campus,69,Projector;Whiteboard
R7,Main Campus,70,Lab
R8,Main Campus,95,Whiteboard
R9,Main Campus,91,
R10,Main Campus,59,Lab;Whiteboard
R11,Main Campus,77,Projector
R12,Main Campus,41,Whiteboard
R13,Main Campus,71,Projector;Lab
R14,Main Campus,59,Lab
R15,Main Campus,40,
R16,Main Campus,40,Whiteboard
R17,Main Campus,72,
R18,Main Campus,92,Lab
R19,Main Campus,94,
R20,Main Campus,66,Projector;Lab;Whiteboard
R21,Main Campus,97,Lab;Whiteboard
R22,Main Campus,80,Whiteboard
R23,Main Campus,59,
R24,Main Campus,66,Projector
